phone,email,call_attempt,lead_score,phone_valid,email_valid,lead_category
9915956314,arjun9802@yahoo.com,5,30,True,True,COLD_LEAD
6309848872,vijay848@outlook.com,2,34,True,True,COLD_LEAD
6597830470,deepak5370@protonmail.com,0,3,True,True,COLD_LEAD
7406539294,vijay6104@yahoo.com,1,15,True,True,COLD_LEAD
9965429557,meera3790@protonmail.com,3,30,True,True,COLD_LEAD
9452426661,rahul3@yahoo.com,1,51,True,True,WARM_LEAD
6467684911,sneha6516@yahoo.com,4,67,True,True,WARM_LEAD
9226728037,sneha9077@protonmail.com,5,67,True,True,WARM_LEAD
9723971890,rahul1073@protonmail.com,0,15,True,True,COLD_LEAD
9478112358,meera6231@protonmail.com,4,40,True,True,COLD_LEAD
7816518451,sneha2168@protonmail.com,0,36,True,True,COLD_LEAD
9330567343,sneha2162@gmail.com,3,70,True,True,WARM_LEAD
6792894536,priya7893@outlook.com,0,52,True,True,WARM_LEAD
8114685106,priya2982@protonmail.com,0,61,True,True,WARM_LEAD
7743841922,sneha5642@yahoo.com,4,29,True,True,COLD_LEAD
7165373285,kiran9566@gmail.com,0,86,True,True,HOT_LEAD
6939212044,rahul1856@outlook.com,5,15,True,True,COLD_LEAD
9401423118,rohit8573@yahoo.com,5,45,True,True,COLD_LEAD
7393734212,meera1748@protonmail.com,0,26,True,True,COLD_LEAD
6446866355,sneha738@protonmail.com,0,99,True,True,HOT_LEAD
7822799467,meera2142@outlook.com,2,39,True,True,COLD_LEAD
9937163393,rohit6116@gmail.com,2,16,True,True,COLD_LEAD
9330960750,rahul4683@protonmail.com,2,76,True,True,WARM_LEAD
7547688551,anita2734@yahoo.com,1,33,True,True,COLD_LEAD
6794518282,priya7092@gmail.com,4,63,True,True,WARM_LEAD
6705434372,anita6319@gmail.com,5,1,True,True,COLD_LEAD
9110096617,vijay2664@yahoo.com,1,87,True,True,HOT_LEAD
7351511659,vijay3432@outlook.com,2,8,True,True,COLD_LEAD
6261205095,priya940@gmail.com,0,59,True,True,WARM_LEAD
7072873166,priya8215@protonmail.com,0,83,True,True,HOT_LEAD
9524362534,rohit961@protonmail.com,2,42,True,True,COLD_LEAD
7904353701,arjun4891@protonmail.com,0,47,True,True,COLD_LEAD
8196685335,rohit8435@gmail.com,3,40,True,True,COLD_LEAD
9469058600,priya1082@outlook.com,0,4,True,True,COLD_LEAD
9370424327,arjun6990@yahoo.com,3,31,True,True,COLD_LEAD
8438524177,anita3363@protonmail.com,3,87,True,True,LOW
6656769352,arjun1242@gmail.com,0,97,True,True,HOT_LEAD
7864749509,anita8769@gmail.com,1,58,True,True,WARM_LEAD
7545515852,deepak3960@gmail.com,4,48,True,True,COLD_LEAD
9403102023,sneha3545@yahoo.com,4,45,True,True,COLD_LEAD
8343411123,rohit6111@protonmail.com,1,25,True,True,COLD_LEAD
8463699563,meera5596@outlook.com,5,32,True,True,COLD_LEAD
7115298393,priya1397@yahoo.com,3,70,True,True,WARM_LEAD
9807960806,anita153@protonmail.com,2,30,True,True,COLD_LEAD
8918871809,vijay8613@protonmail.com,1,91,True,True,HOT_LEAD
9903472150,kiran2636@outlook.com,5,53,True,True,WARM_LEAD
6548695867,anita7476@gmail.com,1,86,True,True,HOT_LEAD
7434493659,rahul6869@protonmail.com,5,6,True,True,COLD_LEAD
7186819854,sneha2493@yahoo.com,2,12,True,True,COLD_LEAD
7778059407,rohit485@gmail.com,0,69,True,True,WARM_LEAD
8552325436,rahul7115@protonmail.com,2,81,True,True,HOT_LEAD
7942659364,vijay8988@outlook.com,5,28,True,True,COLD_LEAD
8276524129,priya6303@gmail.com,5,90,True,True,LOW
9958797373,deepak2029@gmail.com,1,67,True,True,WARM_LEAD
9657870135,rohit3307@yahoo.com,2,49,True,True,COLD_LEAD
6874868308,arjun8403@outlook.com,3,25,True,True,COLD_LEAD
7969838160,kiran822@yahoo.com,3,8,True,True,COLD_LEAD
7016533294,rahul2665@gmail.com,1,88,True,True,HOT_LEAD
6734207012,rohit5623@outlook.com,3,89,True,True,LOW
8529456262,rahul2454@gmail.com,5,51,True,True,WARM_LEAD
6141397210,sneha446@outlook.com,5,98,True,True,LOW
7234080951,anita8222@gmail.com,0,58,True,True,WARM_LEAD
8362032445,kiran8132@outlook.com,4,80,True,True,LOW
6732867999,anita6877@outlook.com,4,58,True,True,WARM_LEAD
9805895557,meera7182@outlook.com,3,12,True,True,COLD_LEAD
8938195835,vijay1903@gmail.com,0,35,True,True,COLD_LEAD
7383483644,arjun4797@protonmail.com,2,20,True,True,COLD_LEAD
7893891318,rahul5538@gmail.com,0,68,True,True,WARM_LEAD
9493019083,anita3711@gmail.com,4,12,True,True,COLD_LEAD
6631277312,meera5592@outlook.com,1,36,True,True,COLD_LEAD
7563776244,sneha444@protonmail.com,2,47,True,True,COLD_LEAD
6164461255,meera542@yahoo.com,1,4,True,True,COLD_LEAD
7319623087,anita5373@outlook.com,1,81,True,True,HOT_LEAD
8487018811,meera623@gmail.com,2,83,True,True,HOT_LEAD
9898321624,rohit5272@gmail.com,2,9,True,True,COLD_LEAD
9423229988,meera5250@protonmail.com,0,43,True,True,COLD_LEAD
7319028780,meera1169@protonmail.com,2,22,True,True,COLD_LEAD
9811079789,rahul9386@gmail.com,5,80,True,True,LOW
9611917787,kiran8002@outlook.com,4,71,True,True,WARM_LEAD
9846244768,rahul6516@protonmail.com,5,34,True,True,COLD_LEAD
7707590844,meera5966@outlook.com,1,23,True,True,COLD_LEAD
9020358510,arjun6733@gmail.com,4,77,True,True,WARM_LEAD
8136381073,vijay2040@gmail.com,5,53,True,True,WARM_LEAD
7379680452,arjun2753@yahoo.com,4,85,True,True,LOW
9858773648,anita6312@yahoo.com,0,49,True,True,COLD_LEAD
6588175693,anita9152@protonmail.com,0,1,True,True,COLD_LEAD
8741911194,priya2111@outlook.com,0,54,True,True,WARM_LEAD
9073690944,meera9241@outlook.com,3,35,True,True,COLD_LEAD
8760745047,meera8950@outlook.com,2,26,True,True,COLD_LEAD
7624998487,arjun6946@yahoo.com,0,95,True,True,HOT_LEAD
9080932873,rahul5462@yahoo.com,5,73,True,True,WARM_LEAD
8734555602,rohit776@yahoo.com,2,1,True,True,COLD_LEAD
9388502336,rohit6837@protonmail.com,0,56,True,True,WARM_LEAD
7363954293,meera5187@outlook.com,5,77,True,True,WARM_LEAD
6864914999,vijay5718@outlook.com,2,87,True,True,HOT_LEAD
9592942238,sneha8109@yahoo.com,0,14,True,True,COLD_LEAD
6818437972,priya9108@yahoo.com,3,32,True,True,COLD_LEAD
7054858225,anita9107@outlook.com,0,61,True,True,WARM_LEAD
8840017199,sneha3875@yahoo.com,4,77,True,True,WARM_LEAD
8166891857,rohit3257@outlook.com,3,41,True,True,COLD_LEAD
9643150753,vijay6511@protonmail.com,1,46,True,True,COLD_LEAD
