phone,email,call_attempt,lead_score
9915956314,arjun9802@yahoo.com,5,30
6309848872,vijay848@outlook.com,2,34
6597830470,deepak5370@protonmail.com,0,3
7406539294,vijay6104@yahoo.com,1,15
48003694,vijay6753@yahoo.com,2,28
1234567890,rahul8720@protonmail.com,4,20
1234567890,rahul8720@protonmail.com,0,74
8123662166,abc@abc,2,71
9965429557,meera3790@protonmail.com,3,30
9452426661,rahul3@yahoo.com,1,51
78803088,deepak2743@outlook.com,4,73
6467684911,sneha6516@yahoo.com,4,67
9226728037,sneha9077@protonmail.com,5,67
9723971890,rahul1073@protonmail.com,0,15
8662409343,usergmail.com,1,95
352614722399,meera8035@outlook.com,0,21
09344755,vijay1079@gmail.com,1,72
8709351114,test@,3,64
1234567890,anita1165@yahoo.com,2,22
9478112358,meera6231@protonmail.com,4,40
7816518451,sneha2168@protonmail.com,0,36
9330567343,sneha2162@gmail.com,3,70
6792894536,priya7893@outlook.com,0,52
97965321,rahul5177@protonmail.com,3,45
1234567890,rahul8720@protonmail.com,0,19
8114685106,priya2982@protonmail.com,0,61
7743841922,sneha5642@yahoo.com,4,29
7165373285,kiran9566@gmail.com,0,86
6939212044,rahul1856@outlook.com,5,15
9401423118,rohit8573@yahoo.com,5,45
7393734212,meera1748@protonmail.com,0,26
6446866355,sneha738@protonmail.com,0,99
7822799467,meera2142@outlook.com,2,39
7393734212,meera1748@protonmail.com,1,8
9937163393,rohit6116@gmail.com,2,16
8123662166,abc@abc,2,63
09344755,vijay1079@gmail.com,0,66
7816518451,sneha2168@protonmail.com,0,75
7393734212,meera1748@protonmail.com,4,20
98A76B321C,priya1763@protonmail.com,5,68
9330960750,rahul4683@protonmail.com,2,76
7547688551,anita2734@yahoo.com,1,33
50852144,sneha388@gmail.com,1,70
6467684911,sneha6516@yahoo.com,4,37
6794518282,priya7092@gmail.com,4,63
7296622593,hello@domain,1,10
6705434372,anita6319@gmail.com,5,1
6178494562,@gmail.com,4,42
99999,kiran8237@yahoo.com,1,18
9110096617,vijay2664@yahoo.com,1,87
7351511659,vijay3432@outlook.com,2,8
6261205095,priya940@gmail.com,0,59
7072873166,priya8215@protonmail.com,0,83
98A76B321C,rahul6208@outlook.com,3,92
9524362534,rohit961@protonmail.com,2,42
7296622593,hello@domain,5,10
7904353701,arjun4891@protonmail.com,0,47
8196685335,rohit8435@gmail.com,3,40
9712679055,hello@domain,5,48
9469058600,priya1082@outlook.com,0,4
9524362534,rohit961@protonmail.com,1,33
1234567890,rohit1182@outlook.com,2,48
9370424327,arjun6990@yahoo.com,3,31
99999,anita7596@outlook.com,1,25
8438524177,anita3363@protonmail.com,3,87
98A76B321C,kiran9347@outlook.com,1,25
6656769352,arjun1242@gmail.com,0,97
8196685335,rohit8435@gmail.com,5,25
7864749509,anita8769@gmail.com,1,58
7545515852,deepak3960@gmail.com,4,48
1234567890,deepak1304@protonmail.com,2,92
9403102023,sneha3545@yahoo.com,4,45
8343411123,rohit6111@protonmail.com,1,25
8778256223,@gmail.com,3,62
8463699563,meera5596@outlook.com,5,32
7115298393,priya1397@yahoo.com,3,70
99999,kiran8237@yahoo.com,4,68
9807960806,anita153@protonmail.com,2,30
8918871809,vijay8613@protonmail.com,1,91
9903472150,kiran2636@outlook.com,5,53
6548695867,anita7476@gmail.com,1,86
7434493659,rahul6869@protonmail.com,5,6
7186819854,sneha2493@yahoo.com,2,12
7778059407,rohit485@gmail.com,0,69
8552325436,rahul7115@protonmail.com,2,81
